elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.0176,0.8857,0.1367,86.609,-4.089,33.875,82.233,-2.884,112.643
9,0.0381,0.8350,0.0942,89.783,-5.859,38.574,83.134,-3.268,112.637
19,0.0957,0.8750,0.0728,70.923,-6.531,38.940,83.859,-3.686,112.615
29,0.1504,0.9648,0.0952,38.086,-1.953,35.156,84.238,-4.087,112.637
39,0.1470,1.0313,0.1411,6.409,3.723,26.489,84.276,-4.384,112.698
49,0.1123,1.0615,0.1733,-15.442,9.949,12.512,84.078,-4.510,112.813
60,0.0859,1.0811,0.1724,-26.733,17.944,-0.916,83.771,-4.482,112.989
69,0.0483,1.0161,0.1250,-24.597,24.109,-9.460,83.502,-4.345,113.220
79,0.0352,0.9482,0.0566,-18.066,28.442,-14.771,83.331,-4.147,113.483
89,0.0571,0.9468,0.0073,-15.137,30.212,-14.221,83.227,-3.966,113.769
100,0.0918,0.9751,-0.0117,-17.700,28.442,-8.301,83.106,-3.867,114.044
110,0.1064,1.0068,0.0005,-21.545,21.790,-3.174,82.947,-3.829,114.258
120,0.1147,1.0337,0.0439,-24.841,12.207,-1.770,82.738,-3.823,114.373
130,0.0967,1.0298,0.0947,-24.292,-0.854,-3.601,82.518,-3.801,114.362
140,0.0718,1.0078,0.1274,-18.250,-13.000,-7.446,82.348,-3.752,114.225
150,0.0571,0.9907,0.1455,-10.376,-20.325,-9.766,82.255,-3.675,114.011
160,0.0591,0.9751,0.1504,-4.578,-20.874,-8.850,82.211,-3.615,113.791
170,0.0757,0.9741,0.1587,-2.319,-15.503,-5.798,82.183,-3.587,113.626
180,0.0820,0.9736,0.1514,-4.089,-6.287,-1.892,82.139,-3.587,113.560
190,0.0937,0.9878,0.1602,-8.667,3.784,0.610,82.035,-3.609,113.599
200,0.1230,1.0361,0.1948,-14.038,10.132,1.526,81.865,-3.636,113.703
209,0.1240,1.0693,0.2207,-16.357,11.047,2.319,81.661,-3.675,113.818
220,0.0918,1.0435,0.2021,-11.780,8.667,0.488,81.513,-3.680,113.901
230,0.0532,0.9912,0.1528,-3.662,6.714,-4.028,81.469,-3.625,113.961
240,0.0332,0.9492,0.0991,2.258,7.263,-7.324,81.513,-3.527,114.027
250,0.0415,0.9248,0.0508,3.174,9.460,-7.019,81.595,-3.433,114.109
260,0.0786,0.9546,0.0342,-1.099,11.475,-4.150,81.639,-3.389,114.214
270,0.1045,0.9976,0.0591,-6.287,11.108,-0.427,81.623,-3.395,114.324
280,0.1187,1.0347,0.1187,-7.507,6.836,1.282,81.563,-3.428,114.395
290,0.1221,1.0762,0.1938,-2.380,-1.770,1.160,81.519,-3.472,114.379
300,0.0918,1.0586,0.2261,10.071,-12.146,0.183,81.590,-3.505,114.258
310,0.0249,0.9702,0.2056,23.560,-18.799,-1.038,81.799,-3.499,114.071
320,-0.0005,0.9058,0.1714,29.785,-18.616,-2.319,82.079,-3.466,113.884
330,-0.0049,0.8770,0.1235,24.719,-12.390,-1.404,82.332,-3.433,113.758
340,0.0200,0.8872,0.0835,10.376,-2.502,0.916,82.458,-3.422,113.736
350,0.0889,0.9673,0.0762,-9.644,6.836,2.747,82.392,-3.461,113.807
360,0.1475,1.0767,0.1118,-26.794,11.780,2.930,82.134,-3.516,113.928
370,0.1450,1.1255,0.1484,-30.579,8.484,-0.427,81.832,-3.538,114.011
380,0.0913,1.0898,0.1680,-20.508,-0.305,-5.310,81.623,-3.499,114.000
390,0.0229,1.0063,0.1880,-4.761,-8.423,-8.667,81.557,-3.406,113.906
400,-0.0215,0.9351,0.1992,8.301,-13.672,-8.606,81.612,-3.290,113.758
410,-0.0356,0.8984,0.1855,14.221,-13.123,-4.944,81.727,-3.208,113.621
420,-0.0010,0.9312,0.1689,13.489,-5.554,0.793,81.843,-3.192,113.566
430,0.0586,1.0107,0.1450,8.240,6.226,6.897,81.925,-3.252,113.637
440,0.1001,1.0518,0.0996,2.136,18.616,10.193,81.958,-3.345,113.835
450,0.1279,1.0723,0.0664,-4.211,26.978,7.446,81.947,-3.417,114.115
460,0.1313,1.0669,0.0566,-7.996,26.184,-0.122,81.903,-3.417,114.373
470,0.1099,1.0356,0.0601,-8.789,16.907,-8.545,81.854,-3.334,114.527
480,0.0737,1.0024,0.0889,-9.033,2.747,-13.428,81.793,-3.208,114.538
490,0.0366,0.9785,0.1162,-10.132,-9.827,-13.123,81.716,-3.082,114.423
500,0.0103,0.9824,0.1440,-12.207,-16.052,-9.399,81.601,-2.988,114.247
510,0.0449,1.0054,0.2021,-15.198,-2.319,-1.099,81.425,-2.977,114.225
520,0.0625,1.0151,0.2217,-17.212,12.756,0.061,81.211,-2.961,114.351
530,0.0791,1.0229,0.2407,-17.761,25.696,-1.648,80.975,-2.922,114.604
540,0.0840,1.0088,0.2144,-13.733,32.227,-5.066,80.793,-2.840,114.911
550,0.0693,0.9795,0.1655,-7.507,31.494,-8.301,80.700,-2.719,115.208
560,0.0518,0.9692,0.1216,-2.930,25.024,-10.071,80.684,-2.582,115.439
570,0.0503,0.9868,0.0962,-1.831,15.991,-9.338,80.695,-2.472,115.582
580,0.0576,0.9863,0.0898,-3.479,5.859,-6.165,80.700,-2.406,115.631
590,0.0513,0.9668,0.1069,-7.263,-2.625,-2.869,80.662,-2.390,115.604
600,0.0464,0.9756,0.1606,-13.733,-7.690,-1.526,80.530,-2.390,115.521
610,0.0371,1.0020,0.2285,-17.639,-7.629,-1.953,80.321,-2.379,115.444
620,0.0405,1.0103,0.2549,-14.648,-0.488,-1.648,80.134,-2.362,115.439
630,0.0518,1.0054,0.2339,-7.507,10.986,-0.732,80.024,-2.346,115.543
640,0.0610,0.9966,0.1807,0.183,21.362,-1.038,80.013,-2.307,115.752
650,0.0732,0.9858,0.1074,4.517,25.391,-3.296,80.085,-2.252,115.999
660,0.0723,0.9644,0.0664,2.075,19.043,-7.324,80.156,-2.170,116.175
670,0.0532,0.9570,0.0889,-5.493,5.493,-11.292,80.145,-2.060,116.208
680,0.0415,0.9697,0.1528,-13.245,-7.141,-13.367,80.030,-1.945,116.115
690,0.0317,0.9927,0.2402,-14.709,-14.954,-13.672,79.854,-1.835,115.944
700,0.0244,1.0186,0.3130,-7.629,-13.367,-10.437,79.711,-1.752,115.790
