elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.4736,0.7642,-0.4717,-3.662,-0.610,-1.831,122.712,26.971,-70.582
10,-0.4780,0.7603,-0.4692,-2.869,0.916,-1.404,122.679,26.988,-70.565
20,-0.4780,0.7583,-0.4668,-2.258,2.319,-1.038,122.657,26.999,-70.538
30,-0.4746,0.7617,-0.4702,-1.892,3.235,-0.610,122.646,26.993,-70.505
40,-0.4678,0.7617,-0.4731,-1.465,3.540,-0.122,122.640,26.982,-70.466
50,-0.4619,0.7671,-0.4780,-0.793,3.723,0.366,122.640,26.960,-70.433
60,-0.4590,0.7681,-0.4834,0.000,3.906,0.854,122.646,26.927,-70.406
70,-0.4600,0.7700,-0.4854,0.793,4.333,1.221,122.668,26.895,-70.373
80,-0.4619,0.7700,-0.4893,1.282,4.883,1.404,122.695,26.856,-70.334
90,-0.4595,0.7729,-0.4946,1.526,5.310,1.282,122.728,26.818,-70.291
100,-0.4546,0.7734,-0.5010,1.648,5.493,1.038,122.767,26.774,-70.247
110,-0.4526,0.7764,-0.5020,1.465,5.371,0.793,122.800,26.730,-70.197
120,-0.4507,0.7852,-0.5088,1.160,5.188,0.427,122.833,26.686,-70.153
130,-0.4482,0.7866,-0.5127,1.038,5.005,0.061,122.866,26.647,-70.104
140,-0.4478,0.7852,-0.5156,1.038,4.639,-0.427,122.904,26.614,-70.060
150,-0.4502,0.7817,-0.5161,1.221,4.150,-0.916,122.943,26.592,-70.016
160,-0.4512,0.7769,-0.5176,1.404,3.662,-1.465,122.981,26.576,-69.972
170,-0.4487,0.7710,-0.5156,1.282,3.052,-1.892,123.019,26.570,-69.933
180,-0.4468,0.7651,-0.5166,0.854,2.441,-2.136,123.052,26.565,-69.895
190,-0.4458,0.7627,-0.5127,0.366,1.831,-2.258,123.080,26.565,-69.868
200,-0.4458,0.7603,-0.5117,0.000,1.465,-2.197,123.102,26.570,-69.840
210,-0.4395,0.7568,-0.5117,0.122,1.343,-1.953,123.124,26.570,-69.813
220,-0.4336,0.7510,-0.5103,0.610,1.404,-1.587,123.151,26.565,-69.791
230,-0.4365,0.7490,-0.5146,1.160,1.465,-1.038,123.184,26.559,-69.769
240,-0.4458,0.7490,-0.5190,1.770,1.709,-0.427,123.223,26.548,-69.752
250,-0.4546,0.7461,-0.5166,2.197,1.831,0.305,123.267,26.537,-69.736
260,-0.4561,0.7476,-0.5146,2.502,1.587,0.793,123.311,26.521,-69.725
270,-0.4575,0.7490,-0.5103,2.502,0.732,1.221,123.344,26.510,-69.730
280,-0.4551,0.7510,-0.5078,2.625,-0.488,1.465,123.371,26.505,-69.741
290,-0.4565,0.7456,-0.5098,2.991,-1.526,1.709,123.398,26.499,-69.769
300,-0.4580,0.7471,-0.5107,3.296,-1.892,1.953,123.426,26.499,-69.796
310,-0.4590,0.7471,-0.5103,3.540,-1.770,2.319,123.459,26.494,-69.829
320,-0.4648,0.7451,-0.5137,3.967,-1.160,2.747,123.497,26.483,-69.857
330,-0.4722,0.7417,-0.5151,4.028,-0.244,2.991,123.541,26.472,-69.873
340,-0.4736,0.7441,-0.5127,3.662,0.122,2.991,123.580,26.455,-69.895
350,-0.4751,0.7432,-0.5039,3.113,-0.549,2.808,123.607,26.450,-69.917
360,-0.4697,0.7446,-0.4985,2.258,-2.258,2.625,123.613,26.455,-69.950
370,-0.4634,0.7480,-0.4941,1.648,-4.395,2.625,123.602,26.466,-70.010
380,-0.4619,0.7554,-0.4878,1.465,-5.981,2.869,123.580,26.483,-70.082
390,-0.4590,0.7612,-0.4834,1.953,-6.470,3.479,123.547,26.494,-70.164
400,-0.4517,0.7651,-0.4785,3.174,-5.920,4.089,123.530,26.494,-70.247
410,-0.4434,0.7642,-0.4751,4.700,-4.517,4.700,123.530,26.477,-70.318
420,-0.4370,0.7666,-0.4795,6.226,-2.747,5.005,123.552,26.444,-70.373
430,-0.4434,0.7671,-0.4839,7.202,-0.793,5.310,123.591,26.400,-70.411
440,-0.4492,0.7671,-0.4888,7.446,1.343,5.493,123.646,26.345,-70.433
450,-0.4507,0.7705,-0.4961,6.836,3.113,5.310,123.701,26.285,-70.439
460,-0.4517,0.7749,-0.4985,5.554,3.967,4.761,123.750,26.224,-70.428
470,-0.4521,0.7822,-0.5024,4.272,3.845,4.089,123.788,26.164,-70.422
480,-0.4497,0.7866,-0.5049,3.540,3.052,3.357,123.810,26.115,-70.411
490,-0.4478,0.7861,-0.5068,3.296,2.136,2.625,123.838,26.076,-70.411
500,-0.4458,0.7837,-0.5088,3.296,1.465,1.953,123.860,26.049,-70.406
510,-0.4438,0.7793,-0.5088,3.662,1.160,1.404,123.893,26.021,-70.406
520,-0.4453,0.7764,-0.5068,3.906,1.343,1.099,123.926,26.005,-70.400
530,-0.4438,0.7734,-0.5044,4.028,1.892,0.977,123.964,25.983,-70.389
540,-0.4438,0.7690,-0.5083,4.211,2.563,0.854,124.008,25.955,-70.373
550,-0.4458,0.7642,-0.5122,4.211,2.991,0.610,124.058,25.933,-70.345
560,-0.4453,0.7622,-0.5132,3.784,3.052,0.305,124.107,25.917,-70.318
570,-0.4463,0.7607,-0.5161,3.357,2.991,0.122,124.151,25.895,-70.296
580,-0.4463,0.7573,-0.5234,3.052,2.930,0.000,124.195,25.878,-70.269
590,-0.4448,0.7505,-0.5254,2.808,2.930,-0.183,124.244,25.867,-70.241
600,-0.4438,0.7485,-0.5254,2.502,2.930,-0.183,124.288,25.851,-70.208
610,-0.4438,0.7520,-0.5269,2.014,2.930,-0.183,124.327,25.834,-70.181
620,-0.4414,0.7520,-0.5259,1.892,2.625,0.061,124.365,25.818,-70.159
630,-0.4414,0.7510,-0.5288,1.953,2.075,0.366,124.398,25.801,-70.142
640,-0.4468,0.7495,-0.5322,2.075,1.526,0.549,124.431,25.790,-70.131
650,-0.4551,0.7539,-0.5317,2.136,1.221,0.549,124.464,25.785,-70.126
660,-0.4595,0.7520,-0.5278,2.197,0.977,0.549,124.497,25.785,-70.120
670,-0.4580,0.7466,-0.5259,2.014,0.610,0.305,124.525,25.785,-70.115
680,-0.4580,0.7461,-0.5225,1.404,0.000,0.061,124.541,25.796,-70.115
690,-0.4556,0.7485,-0.5190,0.854,-0.671,-0.061,124.552,25.807,-70.120
700,-0.4482,0.7476,-0.5132,0.549,-1.282,0.000,124.552,25.818,-70.131
710,-0.4375,0.7505,-0.4995,0.122,-1.770,0.061,124.536,25.829,-70.148
