elapsed_ms,acc_x_g,acc_y_g,acc_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,angle_x_deg,angle_y_deg,angle_z_deg
0,-0.0942,0.8223,0.5645,-3.845,5.798,1.709,54.767,5.630,-33.887
10,-0.0937,0.8232,0.5635,-5.127,5.737,1.648,54.728,5.647,-33.827
20,-0.0928,0.8193,0.5640,-6.348,5.249,1.282,54.679,5.663,-33.777
30,-0.0859,0.8188,0.5630,-7.141,4.578,1.038,54.619,5.674,-33.734
40,-0.0864,0.8223,0.5679,-7.263,3.845,1.221,54.558,5.680,-33.695
50,-0.0903,0.8257,0.5674,-6.470,3.418,1.038,54.509,5.685,-33.662
60,-0.0933,0.8232,0.5669,-5.066,3.174,0.610,54.470,5.696,-33.635
70,-0.0923,0.8159,0.5688,-4.028,2.991,0.427,54.443,5.707,-33.607
80,-0.0967,0.8096,0.5693,-4.272,2.747,0.793,54.404,5.713,-33.580
90,-0.1035,0.8120,0.5698,-6.104,2.869,0.732,54.355,5.724,-33.552
100,-0.1035,0.8164,0.5737,-8.301,3.357,0.244,54.278,5.746,-33.525
110,-0.0947,0.8164,0.5781,-10.376,3.784,0.122,54.185,5.762,-33.492
120,-0.0967,0.8218,0.5879,-12.451,4.089,0.305,54.064,5.784,-33.453
130,-0.1030,0.8276,0.5859,-13.306,4.761,-0.183,53.943,5.812,-33.420
140,-0.0928,0.8188,0.5928,-12.634,5.371,-0.916,53.828,5.845,-33.382
150,-0.0879,0.8145,0.5986,-11.414,5.066,-1.221,53.712,5.872,-33.344
160,-0.0825,0.8179,0.6133,-9.521,3.723,-1.221,53.613,5.894,-33.322
170,-0.0825,0.8276,0.6206,-6.409,1.892,-1.160,53.547,5.900,-33.316
180,-0.1172,0.8394,0.6060,-0.671,0.671,-1.404,53.547,5.922,-33.316
189,-0.1646,0.8218,0.5630,8.362,2.441,-1.953,53.652,5.988,-33.311
200,-0.1709,0.7681,0.5396,15.015,7.263,-2.014,53.817,6.086,-33.261
210,-0.1094,0.7422,0.5723,11.719,11.292,-0.061,53.926,6.158,-33.173
220,-0.0513,0.7964,0.6382,0.000,8.606,3.113,53.910,6.152,-33.085
